type,neurons,density,hits,building_time,search_time
p4,25230,11102.225000000002,-1,NaN,NaN
s,25230,11102.225000000002,0,11049266,1255386
p0,25230,11102.225000000002,0,4766911,315814
p1,25230,11102.225000000002,-1,NaN,NaN
p2,25230,11102.225000000002,0,10209491,329380
p3,25230,11102.225000000002,0,5528989,341545
p4,25230,11102.225000000002,-1,NaN,NaN
s,25230,11102.225000000002,0,10965646,1257360
p0,25230,11102.225000000002,0,4765887,313499
p1,25230,11102.225000000002,-1,NaN,NaN
p2,25230,11102.225000000002,0,10082081,330567
p3,25230,11102.225000000002,0,5509096,336259
p4,25230,11102.225000000002,-1,NaN,NaN
s,25230,11202.200000000003,0,10996730,1265594
p0,25230,11202.200000000003,0,4822017,313377
p1,25230,11202.200000000003,-1,NaN,NaN
p2,25230,11202.200000000003,0,10091780,328112
p3,25230,11202.200000000003,0,5511237,335048
p4,25230,11202.200000000003,-1,NaN,NaN
s,25230,11202.200000000003,0,10989538,1265523
p0,25230,11202.200000000003,0,4757548,311304
p1,25230,11202.200000000003,-1,NaN,NaN
p2,25230,11202.200000000003,0,10160812,328769
p3,25230,11202.200000000003,0,5512775,337031
p4,25230,11202.200000000003,-1,NaN,NaN
s,25230,11202.200000000003,0,10977188,1271538
p0,25230,11202.200000000003,0,4767034,312175
p1,25230,11202.200000000003,-1,NaN,NaN
p2,25230,11202.200000000003,0,10106044,328803
p3,25230,11202.200000000003,0,5516235,338549
p4,25230,11202.200000000003,-1,NaN,NaN
s,25230,11202.200000000003,0,10979198,1285482
p0,25230,11202.200000000003,0,4763661,311787
p1,25230,11202.200000000003,-1,NaN,NaN
p2,25230,11202.200000000003,0,10071572,328039
p3,25230,11202.200000000003,0,5512187,335963
p4,25230,11202.200000000003,-1,NaN,NaN
s,25230,11202.200000000003,0,10979498,1266539
p0,25230,11202.200000000003,0,4845402,312865
p1,25230,11202.200000000003,-1,NaN,NaN
p2,25230,11202.200000000003,0,10159241,329722
p3,25230,11202.200000000003,0,5509236,334418
p4,25230,11202.200000000003,-1,NaN,NaN
s,25230,11302.174999999997,0,10972571,1216041
p0,25230,11302.174999999997,0,4844981,310934
p1,25230,11302.174999999997,-1,NaN,NaN
p2,25230,11302.174999999997,0,10157189,331454
p3,25230,11302.174999999997,0,5497249,340284
p4,25230,11302.174999999997,-1,NaN,NaN
s,25230,11302.174999999997,0,10994658,1216762
p0,25230,11302.174999999997,0,4762848,311357
p1,25230,11302.174999999997,-1,NaN,NaN
p2,25230,11302.174999999997,0,10131430,332454
p3,25230,11302.174999999997,0,5513096,340743
p4,25230,11302.174999999997,-1,NaN,NaN
s,25230,11302.174999999997,0,10999901,1216039
p0,25230,11302.174999999997,0,4766639,311574
p1,25230,11302.174999999997,-1,NaN,NaN
p2,25230,11302.174999999997,0,10160220,333251
p3,25230,11302.174999999997,0,5495220,341817
p4,25230,11302.174999999997,-1,NaN,NaN
s,25230,11302.174999999997,0,11065912,1222293
p0,25230,11302.174999999997,0,4798114,310895
p1,25230,11302.174999999997,-1,NaN,NaN
p2,25230,11302.174999999997,0,10105857,332822
p3,25230,11302.174999999997,0,5559219,340855
p4,25230,11302.174999999997,-1,NaN,NaN
s,25230,11302.174999999997,0,11039341,1217956
p0,25230,11302.174999999997,0,4800747,311326
p1,25230,11302.174999999997,-1,NaN,NaN
p2,25230,11302.174999999997,0,10073254,329202
p3,25230,11302.174999999997,0,5599891,341069
p4,25230,11302.174999999997,-1,NaN,NaN
s,25230,11402.149999999998,0,11003070,1277822
p0,25230,11402.149999999998,0,4768423,314263
p1,25230,11402.149999999998,-1,NaN,NaN
p2,25230,11402.149999999998,0,10098829,332298
p3,25230,11402.149999999998,0,5508783,337821
p4,25230,11402.149999999998,-1,NaN,NaN
s,25230,11402.149999999998,0,11027105,1276709
p0,25230,11402.149999999998,0,4768932,315923
p1,25230,11402.149999999998,-1,NaN,NaN
p2,25230,11402.149999999998,0,10093694,330506
p3,25230,11402.149999999998,0,5497391,337403
p4,25230,11402.149999999998,-1,NaN,NaN
