type,neurons,density,hits,building_time,search_time
p2,25230,211000.0,10,10447667,324390
p3,25230,211000.0,10,7080386,333370
s,25230,212000.0,1,10922547,1287412
p0,25230,212000.0,1,6526819,295647
p2,25230,212000.0,1,10421490,320144
p3,25230,212000.0,1,7074926,323275
s,25230,213000.0,0,10923912,1196453
p0,25230,213000.0,0,6565392,302697
p2,25230,213000.0,0,10391121,322711
p3,25230,213000.0,0,7136663,337280
s,25230,214000.0,0,10972396,1278699
p0,25230,214000.0,0,6548671,296183
p2,25230,214000.0,0,10388007,320496
p3,25230,214000.0,0,7139130,325814
s,25230,214999.99999999997,11,10906797,1305763
p0,25230,214999.99999999997,11,6537643,303830
p2,25230,214999.99999999997,11,10420273,326894
p3,25230,214999.99999999997,11,7079885,330697
s,25230,216000.0,6,10944710,1250815
p0,25230,216000.0,6,6531005,301410
p2,25230,216000.0,6,10439970,322677
p3,25230,216000.0,6,7038034,333074
s,25230,217000.0,1,10925773,1315400
p0,25230,217000.0,1,6581976,296906
p2,25230,217000.0,1,10437628,321362
p3,25230,217000.0,1,7109679,324256
s,25230,218000.00000000003,10,10917202,1277083
p0,25230,218000.00000000003,10,6488871,305840
p2,25230,218000.00000000003,10,10354167,324353
p3,25230,218000.00000000003,10,7156450,331920
s,25230,218999.99999999997,2,10928009,1296212
p0,25230,218999.99999999997,2,6551845,308372
p2,25230,218999.99999999997,2,10437263,320426
p3,25230,218999.99999999997,2,7085285,327086
s,25230,220000.0,2,10931335,1257394
p0,25230,220000.0,2,6541516,295582
p2,25230,220000.0,2,10389728,313840
p3,25230,220000.0,2,7151739,323598
s,25230,221000.0,6,10932597,1269572
p0,25230,221000.0,6,6602385,306409
p2,25230,221000.0,6,10424325,326094
p3,25230,221000.0,6,7042001,332059
s,25230,222000.0,2,10964882,1279896
p0,25230,222000.0,2,6566752,308507
p2,25230,222000.0,2,10406732,327852
p3,25230,222000.0,2,7094939,333579
s,25230,223000.0,1,10918330,1321751
p0,25230,223000.0,1,6559658,292538
